index,id,item,category,department,store,store_code,region,yearweek,qty_sold,sell_price,weekday_int,event,has_event
0,192,19,0,1,0,2,0,201105,62,1.128,2,2,false
1,192,19,0,1,0,2,0,201105,62,1.128,3,2,false
2,192,19,0,1,0,2,0,201105,62,1.128,4,2,false
3,192,19,0,1,0,2,0,201105,62,1.128,5,2,false
4,192,19,0,1,0,2,0,201105,62,1.128,6,2,false
5,192,19,0,1,0,2,0,201105,62,1.128,7,2,false
6,192,19,0,1,0,2,0,201105,62,1.128,1,2,false
7,122,12,0,1,0,2,0,201105,601,1.776,2,2,false
8,122,12,0,1,0,2,0,201105,601,1.776,3,2,false
9,122,12,0,1,0,2,0,201105,601,1.776,4,2,false
10,122,12,0,1,0,2,0,201105,601,1.776,5,2,false
11,122,12,0,1,0,2,0,201105,601,1.776,6,2,false
12,122,12,0,1,0,2,0,201105,601,1.776,7,2,false
13,122,12,0,1,0,2,0,201105,601,1.776,1,2,false
14,132,13,0,1,0,2,0,201105,239,2.736,2,2,false
15,132,13,0,1,0,2,0,201105,239,2.736,3,2,false
16,132,13,0,1,0,2,0,201105,239,2.736,4,2,false
17,132,13,0,1,0,2,0,201105,239,2.736,5,2,false
18,132,13,0,1,0,2,0,201105,239,2.736,6,2,false
19,132,13,0,1,0,2,0,201105,239,2.736,7,2,false
20,132,13,0,1,0,2,0,201105,239,2.736,1,2,false
21,102,10,0,1,0,2,0,201105,30,1.128,2,2,false
22,102,10,0,1,0,2,0,201105,30,1.128,3,2,false
23,102,10,0,1,0,2,0,201105,30,1.128,4,2,false
24,102,10,0,1,0,2,0,201105,30,1.128,5,2,false
25,102,10,0,1,0,2,0,201105,30,1.128,6,2,false
26,102,10,0,1,0,2,0,201105,30,1.128,7,2,false
27,102,10,0,1,0,2,0,201105,30,1.128,1,2,false
28,112,11,0,1,0,2,0,201105,375,1.776,2,2,false
29,112,11,0,1,0,2,0,201105,375,1.776,3,2,false
30,112,11,0,1,0,2,0,201105,375,1.776,4,2,false
31,112,11,0,1,0,2,0,201105,375,1.776,5,2,false
32,112,11,0,1,0,2,0,201105,375,1.776,6,2,false
33,112,11,0,1,0,2,0,201105,375,1.776,7,2,false
34,112,11,0,1,0,2,0,201105,375,1.776,1,2,false
35,172,17,0,1,0,2,0,201105,74,1.776,2,2,false
36,172,17,0,1,0,2,0,201105,74,1.776,3,2,false
37,172,17,0,1,0,2,0,201105,74,1.776,4,2,false
38,172,17,0,1,0,2,0,201105,74,1.776,5,2,false
39,172,17,0,1,0,2,0,201105,74,1.776,6,2,false
40,172,17,0,1,0,2,0,201105,74,1.776,7,2,false
41,172,17,0,1,0,2,0,201105,74,1.776,1,2,false
42,182,18,0,1,0,2,0,201105,219,1.5,2,2,false
43,182,18,0,1,0,2,0,201105,219,1.5,3,2,false
44,182,18,0,1,0,2,0,201105,219,1.5,4,2,false
45,182,18,0,1,0,2,0,201105,219,1.5,5,2,false
46,182,18,0,1,0,2,0,201105,219,1.5,6,2,false
47,182,18,0,1,0,2,0,201105,219,1.5,7,2,false
48,182,18,0,1,0,2,0,201105,219,1.5,1,2,false
49,162,16,0,1,0,2,0,201105,116,1.776,2,2,false
50,162,16,0,1,0,2,0,201105,116,1.776,3,2,false
51,162,16,0,1,0,2,0,201105,116,1.776,4,2,false
52,162,16,0,1,0,2,0,201105,116,1.776,5,2,false
53,162,16,0,1,0,2,0,201105,116,1.776,6,2,false
54,162,16,0,1,0,2,0,201105,116,1.776,7,2,false
55,162,16,0,1,0,2,0,201105,116,1.776,1,2,false
56,142,14,0,1,0,2,0,201105,51,1.128,2,2,false
57,142,14,0,1,0,2,0,201105,51,1.128,3,2,false
58,142,14,0,1,0,2,0,201105,51,1.128,4,2,false
59,142,14,0,1,0,2,0,201105,51,1.128,5,2,false
60,142,14,0,1,0,2,0,201105,51,1.128,6,2,false
61,142,14,0,1,0,2,0,201105,51,1.128,7,2,false
62,142,14,0,1,0,2,0,201105,51,1.128,1,2,false
63,152,15,0,1,0,2,0,201105,56,1.5,2,2,false
